ID,Name,Team,Pos,Price,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob
12,Nwaneri,ARS,MID,4.5,1.59526,0.77687,1.23932,1.59197,0.77687,1.23676,1.56642,0.77687,1.21691,1.59954,0.77687,1.24264,1.6052,0.77687,1.24704,1.66746,0.77687,1.29541,1.5339,0.77687,1.19164,1.73034,0.77687,1.34426
13,Ødegaard,ARS,MID,8.3,3.99646,0.93978,3.75577,3.97465,0.93978,3.73528,3.84671,0.93978,3.61504,3.83794,0.93978,3.6068,4.01478,0.93978,3.77299,4.19734,0.93978,3.94456,3.60158,0.93978,3.38468,4.14051,0.93978,3.89115
14,Ramsdale,SOU,GK,4.4,3.33555,0.94877,3.16467,3.92157,0.94877,3.72067,3.28605,0.94877,3.11771,4.32376,0.94877,4.10225,3.79195,0.94877,3.59769,3.76286,0.94877,3.57009,3.33164,0.94877,3.16096,3.45775,0.94877,3.28061
15,Raya,ARS,GK,5.6,3.22021,0.94941,3.05731,4.43659,0.94941,4.21215,4.33605,0.94941,4.1167,3.96395,0.94941,3.76342,3.54507,0.94941,3.36573,4.02107,0.94941,3.81765,4.09453,0.94941,3.88739,3.87417,0.94941,3.67818
16,Rice,ARS,MID,6.2,3.27244,0.93067,3.04555,3.32253,0.93067,3.09217,3.2052,0.93067,2.98297,3.12405,0.93067,2.90745,3.23021,0.93067,3.00625,3.47316,0.93067,3.23236,2.95792,0.93067,2.75284,3.46198,0.93067,3.22195
17,Saka,ARS,MID,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Saliba,ARS,DEF,6.3,3.5005,0.92136,3.22522,3.80938,0.92136,3.50981,3.57526,0.92136,3.2941,3.51807,0.92136,3.24141,3.4674,0.92136,3.19472,3.69268,0.92136,3.40228,3.42073,0.92136,3.15172,3.71742,0.92136,3.42508
19,"Smith Rowe",FUL,MID,5.4,2.40879,0.4966,1.19619,2.59114,0.65954,1.70897,2.55715,0.73714,1.88496,2.61954,0.77593,2.03258,2.68739,0.77593,2.08523,2.45576,0.77593,1.90551,2.44459,0.77593,1.89684,2.59862,0.77593,2.01635
20,Thomas,ARS,MID,5,2.61791,0.88738,2.32308,2.50711,0.88738,2.22476,2.47844,0.88738,2.19931,2.58899,0.88738,2.29742,2.62686,0.88738,2.33102,2.62079,0.88738,2.32564,2.49133,0.88738,2.21075,2.6658,0.88738,2.36558
21,Tierney,ARS,DEF,4.3,2.48919,0.00895,0.02228,2.92741,0.00895,0.0262,2.67655,0.00895,0.02396,2.59785,0.00895,0.02325,2.51615,0.00895,0.02252,2.69466,0.00895,0.02412,2.54617,0.00895,0.02279,2.63426,0.00895,0.02358
22,Tomiyasu,ARS,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Trossard,ARS,MID,6.8,2.60108,0.94123,2.44822,2.44285,0.94123,2.29928,2.37134,0.94123,2.23198,2.51275,0.94123,2.36508,2.62198,0.94123,2.4679,2.57506,0.94123,2.42373,2.34467,0.94123,2.20688,2.58333,0.94123,2.43152
24,White,ARS,DEF,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Zinchenko,ARS,DEF,4.8,2.85568,0.36201,1.03379,3.07559,0.48079,1.47872,2.84704,0.53736,1.52988,2.93431,0.56564,1.65977,2.86869,0.56564,1.62265,2.89625,0.56564,1.63824,2.85775,0.56564,1.61646,2.88064,0.56564,1.62941
26,"Alex Moreno",NFO,DEF,4.4,2.58868,0.55949,1.44834,2.41014,0.55949,1.34845,2.59716,0.55949,1.45309,2.62462,0.55949,1.46845,2.40208,0.55949,1.34394,2.51783,0.55949,1.4087,2.50067,0.55949,1.3991,2.57288,0.55949,1.4395
27,Archer,SOU,FWD,5,2.26104,0.94101,2.12765,2.18218,0.94101,2.05345,2.25793,0.94101,2.12473,2.10119,0.94101,1.97723,2.06169,0.94101,1.94006,2.13492,0.94101,2.00897,2.17861,0.94101,2.05009,2.20438,0.94101,2.07433
28,Bailey,AVL,MID,6.2,2.23961,0.74567,1.67001,2.77476,0.74567,2.06905,3.36432,0.74567,2.50867,2.27346,0.74567,1.69525,2.04499,0.74567,1.52489,3.06213,0.74567,2.28334,2.5962,0.74567,1.9359,2.92737,0.74567,2.18285
29,Barkley,AVL,MID,5.2,1.91224,0.75956,1.45247,2.04569,0.75956,1.55383,2.314,0.75956,1.75762,1.95509,0.75956,1.48501,1.75446,0.75956,1.33262,2.16525,0.75956,1.64464,2.07783,0.75956,1.57824,2.08322,0.75956,1.58233
30,Barrenechea,AVL,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Buendia,AVL,MID,5.1,1.52292,0.53301,0.81173,1.59014,0.53301,0.84756,1.84678,0.53301,0.98436,1.54686,0.53301,0.8245,1.34469,0.53301,0.71673,1.6965,0.53301,0.90426,1.69511,0.53301,0.90351,1.6165,0.53301,0.86162
32,Cash,AVL,DEF,4.4,2.62324,0.83842,2.19938,2.2342,0.83842,1.8732,2.36849,0.83842,1.98579,2.2308,0.83842,1.87034,2.61634,0.83842,2.19359,2.28974,0.83842,1.91976,2.43879,0.83842,2.04473,2.21585,0.83842,1.85781
33,Dendoncker,AVL,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Diaby,AVL,MID,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Diego Carlos",AVL,DEF,4.5,2.71935,0.35309,0.96017,2.30113,0.46894,1.0791,2.38723,0.52411,1.25118,2.34035,0.5517,1.29117,2.74989,0.5517,1.51711,2.33782,0.5517,1.28977,2.4878,0.5517,1.37252,2.2744,0.5517,1.25479
36,Digne,AVL,DEF,4.7,3.07746,0.94122,2.89657,2.79606,0.94122,2.63172,3.06028,0.94122,2.88041,2.74652,0.94122,2.58509,2.99997,0.94122,2.82364,2.9147,0.94122,2.74339,3.0073,0.94122,2.83054,2.81094,0.94122,2.64572
37,Dobbin,AVL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Duran,AVL,FWD,5.9,1.58971,0.94045,1.49504,1.88339,0.94045,1.77123,2.19947,0.94045,2.06849,1.90286,0.94045,1.78954,1.5021,0.94045,1.41264,2.06621,0.94045,1.94316,2.0243,0.94045,1.90375,1.99475,0.94045,1.87596
39,Gauci,AVL,GK,4,4.16648,0.06,0.24999,3.43766,0.06,0.20626,3.35669,0.06,0.2014,3.73588,0.06,0.22416,4.38598,0.06,0.26316,3.30544,0.06,0.19833,3.61824,0.06,0.2171,2.93351,0.06,0.17601
40,Hause,AVL,DEF,3.9,2.44011,2.0E-5,4.0E-5,2.0227,2.0E-5,3.0E-5,2.11457,2.0E-5,3.0E-5,2.05929,2.0E-5,3.0E-5,2.46457,2.0E-5,4.0E-5,2.0616,2.0E-5,3.0E-5,2.21634,2.0E-5,3.0E-5,1.99681,2.0E-5,3.0E-5
41,"Iling Jr",AVL,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Kamara,AVL,MID,5,2.02247,0.91106,1.84259,2.04508,0.91106,1.86318,2.23586,0.91106,2.03699,2.08135,0.91106,1.89623,1.89212,0.91106,1.72383,2.12617,0.91106,1.93706,2.14872,0.91106,1.9576,2.05896,0.91106,1.87583
43,Kesler-Hayden,AVL,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Konsa,AVL,DEF,4.4,3.21993,0.92074,2.96471,3.07365,0.92074,2.83002,3.25374,0.92074,2.99583,2.91433,0.92074,2.68333,3.19791,0.92074,2.94442,3.1457,0.92074,2.89636,3.04406,0.92074,2.80277,3.05224,0.92074,2.8103
45,Maatsen,AVL,DEF,4.6,2.50584,0.63495,1.59109,2.16889,0.63495,1.37714,2.37061,0.63495,1.50522,2.15616,0.63495,1.36906,2.4742,0.63495,1.571,2.26032,0.63495,1.43519,2.37931,0.63495,1.51075,2.17193,0.63495,1.37907
46,Marschall,AVL,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Martinez,AVL,GK,5,4.59995,0.94939,4.36713,3.54194,0.94939,3.36267,3.46201,0.94939,3.28678,4.16816,0.94939,3.95719,4.8174,0.94939,4.57356,3.41025,0.94939,3.23764,4.05621,0.94939,3.8509,3.03813,0.94939,2.88436
48,McGinn,AVL,MID,5.2,2.46803,0.9387,2.31675,2.76324,0.9387,2.59386,3.20032,0.9387,3.00415,2.52907,0.9387,2.37405,2.306,0.9387,2.16464,2.97176,0.9387,2.7896,2.81792,0.9387,2.64519,2.86432,0.9387,2.68874
49,Mings,AVL,DEF,4.4,2.85673,0.12527,0.35787,2.46966,0.12527,0.30939,2.60384,0.12527,0.32619,2.49029,0.12527,0.31197,2.85666,0.12527,0.35787,2.52809,0.12527,0.3167,2.67308,0.12527,0.33487,2.45376,0.12527,0.30739
50,Nedeljkovic,AVL,DEF,3.9,2.42535,0.01854,0.04496,2.00371,0.01854,0.03714,2.09055,0.01854,0.03875,2.04265,0.01854,0.03786,2.45292,0.01854,0.04547,2.04034,0.01854,0.03782,2.19674,0.01854,0.04072,1.97674,0.01854,0.03664
51,Olsen,AVL,GK,4.5,4.34638,0.00293,0.01275,3.37777,0.00293,0.00991,3.30087,0.00293,0.00969,3.91464,0.00293,0.01149,4.56392,0.00293,0.01339,3.24761,0.00293,0.00953,3.80242,0.00293,0.01116,2.87496,0.00293,0.00844
52,Pau,AVL,DEF,4.4,3.06984,0.87034,2.67181,2.69777,0.87034,2.34798,2.80702,0.87034,2.44306,2.71432,0.87034,2.36238,3.07775,0.87034,2.67869,2.74223,0.87034,2.38667,2.86225,0.87034,2.49113,2.67072,0.87034,2.32443
53,Ramsey,AVL,MID,5.4,2.32258,0.01,0.02323,2.39154,0.7463,1.7848,2.73619,0.8477,2.31948,2.33274,0.86937,2.02801,2.11008,0.86937,1.83444,2.54915,0.86937,2.21615,2.61769,0.87986,2.3032,2.45503,0.87986,2.16008
54,Rogers,AVL,MID,5.4,2.7434,0.89254,2.44858,3.19024,0.89254,2.84741,3.69005,0.89254,3.2935,2.82806,0.89254,2.52414,2.59465,0.89254,2.31582,3.45778,0.89254,3.0862,3.11339,0.89254,2.77882,3.33925,0.89254,2.9804
55,Sinisalo,AVL,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Sousa,AVL,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Tielemans,AVL,MID,5.5,3.05992,0.94081,2.87881,3.1473,0.94081,2.96102,3.64542,0.94081,3.42966,3.17928,0.94081,2.99111,2.91421,0.94081,2.74173,3.41682,0.94081,3.21459,3.51079,0.94081,3.30299,3.3013,0.94081,3.1059
58,Watkins,AVL,FWD,8.9,2.64903,0.94122,2.49331,3.2394,0.94122,3.04898,3.62489,0.94122,3.41182,2.77761,0.94122,2.61434,2.29271,0.94122,2.15794,3.39464,0.94122,3.1951,2.92575,0.94122,2.75377,3.28943,0.94122,3.09607
59,Aarons,BOU,DEF,4.3,2.19708,0.07478,0.16429,2.43342,0.07478,0.18196,2.11007,0.07478,0.15778,2.64835,0.07478,0.19803,2.6481,0.07478,0.19801,2.22814,0.07478,0.16661,2.39754,0.07478,0.17928,2.34616,0.07478,0.17544
60,Adams,BOU,MID,4.9,2.0578,0.81897,1.68528,1.93381,0.81897,1.58373,2.07665,0.81897,1.70072,1.87602,0.81897,1.5364,1.90533,0.81897,1.56041,2.08506,0.81897,1.7076,1.92245,0.81897,1.57443,2.19786,0.81897,1.79999
61,Anthony,BOU,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Brooks,BOU,MID,4.9,1.64262,0.89822,1.47543,1.5586,0.89822,1.39997,1.67394,0.89822,1.50357,1.4933,0.89822,1.34131,1.51861,0.89822,1.36405,1.683,0.89822,1.51171,1.51331,0.89822,1.35928,1.8732,0.89822,1.68255
63,Christie,BOU,MID,4.9,2.95429,0.9365,2.76669,2.72555,0.9365,2.55247,2.99933,0.9365,2.80887,2.6147,0.9365,2.44866,2.62964,0.9365,2.46265,2.995,0.9365,2.80482,2.77489,0.9365,2.59868,3.19284,0.9365,2.99009
64,Cook,BOU,MID,5,2.65572,0.88851,2.35963,2.63909,0.88851,2.34485,2.70301,0.88851,2.40164,2.54615,0.88851,2.26228,2.563,0.88851,2.27724,2.70666,0.88851,2.40489,2.50713,0.88851,2.2276,3.09292,0.88851,2.74808
65,"Enes Ünal",BOU,FWD,5.4,1.77996,0.89805,1.59849,1.63242,0.89805,1.46599,1.85904,0.89805,1.66951,1.47143,0.89805,1.32141,1.50321,0.89805,1.34996,1.80727,0.89805,1.62301,1.49238,0.89805,1.34023,2.08193,0.89805,1.86967
66,Faivre,BOU,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,H.Traorè,BOU,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Hill,BOU,DEF,3.9,1.89263,0.34836,0.65932,2.12545,0.34836,0.74042,1.80276,0.34836,0.62801,2.34357,0.34836,0.81641,2.34359,0.34836,0.81642,1.92129,0.34836,0.6693,2.09658,0.34836,0.73037,2.02123,0.34836,0.70412
69,Jebbison,BOU,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kerkez,BOU,DEF,4.7,2.86254,0.94045,2.69208,2.76628,0.94045,2.60156,2.80859,0.94045,2.64135,2.93933,0.94045,2.76431,2.94534,0.94045,2.76995,2.90098,0.94045,2.72824,2.91445,0.94045,2.7409,2.7905,0.94045,2.62433
71,Kluivert,BOU,MID,5.5,2.43326,0.94096,2.2896,2.76449,0.94096,2.60127,2.60037,0.94096,2.44684,2.68261,0.94096,2.52423,2.67446,0.94096,2.51655,2.62114,0.94096,2.46638,2.40227,0.94096,2.26044,3.59429,0.94096,3.38208
72,Mepham,BOU,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Neto,ARS,GK,4.2,2.94805,0.06019,0.17745,4.30887,0.06019,0.25936,4.20886,0.06019,0.25334,3.69291,0.06019,0.22229,3.27321,0.06019,0.19702,3.89303,0.06019,0.23433,3.82429,0.06019,0.2302,3.74663,0.06019,0.22552
74,O.Dango,BOU,MID,5,2.30337,0.93428,2.152,2.34302,0.93428,2.18905,2.41857,0.93428,2.25963,2.30352,0.93428,2.15214,2.31887,0.93428,2.16648,2.44376,0.93428,2.28316,2.25619,0.93428,2.10792,2.84024,0.93428,2.6536
75,Paulsen,BOU,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Philip,BOU,MID,4.8,1.85656,0.72696,1.34964,1.72676,0.72696,1.25528,1.81483,0.72696,1.3193,1.62451,0.72696,1.18095,1.64631,0.72696,1.1968,1.82267,0.72696,1.325,1.64358,0.72696,1.19481,2.05744,0.72696,1.49567
77,Scott,BOU,MID,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Semenyo,BOU,MID,5.6,2.93603,0.88847,2.60856,2.43714,0.88847,2.16532,3.00388,0.88847,2.66884,2.37036,0.88847,2.10599,2.39135,0.88847,2.12463,3.01545,0.88847,2.67912,2.78377,0.88847,2.47328,2.82971,0.88847,2.5141
79,Senesi,BOU,DEF,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sinisterra,BOU,MID,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Smith,BOU,DEF,4.5,2.23445,0.93891,2.09795,2.38017,0.93891,2.23477,2.15185,0.93891,2.02039,2.59744,0.93891,2.43876,2.59779,0.93891,2.4391,2.2658,0.93891,2.12738,2.41282,0.93891,2.26542,2.28203,0.93891,2.14262
82,Solanke,TOT,FWD,7.5,3.1292,0.888,2.77874,3.65315,0.888,3.24401,3.50983,0.888,3.11674,2.7335,0.888,2.42735,3.26409,0.888,2.89852,3.92549,0.888,3.48584,3.17049,0.888,2.8154,3.50027,0.888,3.10825
83,Tavernier,BOU,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Travers,BOU,GK,4.4,3.34233,0.06089,0.20352,4.09272,0.06089,0.24921,3.13746,0.06089,0.19105,4.39329,0.06089,0.26752,4.35627,0.06089,0.26526,3.31833,0.06089,0.20206,3.80139,0.06089,0.23147,4.41162,0.06089,0.26863
85,Zabarnyi,BOU,DEF,4.4,2.70402,0.94012,2.54209,2.97007,0.94012,2.79221,2.6285,0.94012,2.4711,3.1503,0.94012,2.96164,3.16517,0.94012,2.97563,2.73588,0.94012,2.57204,2.84834,0.94012,2.67777,2.93575,0.94012,2.75994
86,Ajer,BRE,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Brierley,BRE,MID,4.4,1.77313,2.0E-5,3.0E-5,1.67026,2.0E-5,3.0E-5,2.05925,2.0E-5,3.0E-5,1.70241,2.0E-5,3.0E-5,1.71284,2.0E-5,3.0E-5,1.8528,2.0E-5,3.0E-5,1.77789,2.0E-5,3.0E-5,1.87439,2.0E-5,3.0E-5
88,Collins,BRE,DEF,4.6,2.84516,0.94088,2.67694,2.74978,0.94088,2.5872,2.7926,0.94088,2.62749,2.73034,0.94088,2.56891,2.82472,0.94088,2.65772,2.8712,0.94088,2.70144,2.77544,0.94088,2.61134,2.89062,0.94088,2.71972
89,Damsgaard,BRE,MID,5,2.5035,0.94074,2.35514,2.50509,0.94074,2.35663,2.96256,0.94074,2.78699,2.61451,0.94074,2.45957,2.67816,0.94074,2.51945,2.60969,0.94074,2.45503,2.76776,0.94074,2.60373,2.65568,0.94074,2.49829
90,Dasilva,BRE,MID,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Flekken,BRE,GK,4.5,4.55664,0.94941,4.32613,3.7014,0.94941,3.51415,4.84378,0.94941,4.59875,4.07046,0.94941,3.86455,4.07363,0.94941,3.86755,4.34563,0.94941,4.12579,3.94428,0.94941,3.74475,4.40143,0.94941,4.17877
92,Henry,BRE,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Hickey,BRE,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Janelt,BRE,MID,4.9,2.5586,0.85414,2.1854,2.49625,0.85414,2.13215,2.87099,0.85414,2.45222,2.48484,0.85414,2.1224,2.52072,0.85414,2.15304,2.51683,0.85414,2.14972,2.6008,0.85414,2.22145,2.55707,0.85414,2.1841
95,Jensen,BRE,MID,5.3,2.40216,0.01,0.02402,2.32401,0.74203,1.72448,2.78107,0.84799,2.35833,2.38437,0.84799,2.02193,2.41609,0.87157,2.10579,2.48546,0.87157,2.16626,2.49425,0.88346,2.20356,2.52123,0.88346,2.2274
96,Ji-soo,BRE,DEF,3.9,2.22676,2.0E-5,3.0E-5,2.12453,2.0E-5,3.0E-5,2.13284,2.0E-5,3.0E-5,2.10069,2.0E-5,3.0E-5,2.201,2.0E-5,3.0E-5,2.24641,2.0E-5,4.0E-5,2.13224,2.0E-5,3.0E-5,2.26423,2.0E-5,4.0E-5
97,Konak,BRE,MID,4.5,1.44007,0.31611,0.45522,1.34225,0.31611,0.4243,1.67602,0.31611,0.52981,1.35417,0.31611,0.42807,1.35348,0.31611,0.42785,1.50473,0.31611,0.47566,1.41402,0.31611,0.44699,1.5201,0.31611,0.48052
98,Lewis-Potter,BRE,MID,5,2.37672,0.93878,2.23121,2.28057,0.93878,2.14095,2.76954,0.93878,2.59998,2.34449,0.93878,2.20095,2.38583,0.93878,2.23976,2.44804,0.93878,2.29816,2.46503,0.93878,2.31411,2.48844,0.93878,2.33608
99,Mbeumo,BRE,MID,7.6,3.31238,0.94123,3.11771,3.43138,0.94123,3.22972,4.029,0.94123,3.79222,3.64181,0.94123,3.42778,3.77807,0.94123,3.55603,3.44211,0.94123,3.23982,3.90399,0.94123,3.67456,3.52849,0.94123,3.32112
100,Mee,BRE,DEF,4.2,2.52532,0.39623,1.00062,2.39846,0.39623,0.95035,2.47446,0.39623,0.98047,2.38177,0.39623,0.94374,2.48304,0.39623,0.98387,2.55066,0.39623,1.01066,2.42409,0.39623,0.96051,2.57258,0.39623,1.01935
101,Nørgaard,BRE,MID,4.8,2.36389,0.86315,2.04039,2.31763,0.86315,2.00047,2.64695,0.86315,2.28471,2.34886,0.86315,2.02742,2.36038,0.86315,2.03737,2.43194,0.86315,2.09914,2.43031,0.86315,2.09772,2.45484,0.86315,2.11889
102,Onyeka,BRE,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Peart-Harris,BRE,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Pinnock,BRE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Roerslev,BRE,DEF,4.3,2.28116,0.4722,1.07715,2.17236,0.62713,1.36236,2.17607,0.70092,1.52524,2.14904,0.73781,1.58557,2.26272,0.73781,1.66945,2.28458,0.73781,1.68557,2.18403,0.73781,1.61139,2.30593,0.73781,1.70133
106,Schade,BRE,MID,5.1,2.03461,0.94093,1.91442,2.08021,0.94093,1.95733,2.39558,0.94093,2.25406,2.13805,0.94093,2.01175,2.20074,0.94093,2.07074,2.05692,0.94093,1.93541,2.291,0.94093,2.15567,2.09652,0.94093,1.97268
107,Thiago,BRE,FWD,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Toney,BRE,FWD,7.3,2.80304,0,1.47573,2.80404,0,1.47625,3.25688,0,1.71466,2.78862,0,1.46814,2.91455,0,1.53443,2.87142,0,1.51173,3.15327,0,1.66011,2.90418,0,1.52898
109,Valdimarsson,BRE,GK,3.9,3.93413,0.06,0.23605,3.44612,0.06,0.20677,4.21496,0.06,0.2529,3.81055,0.06,0.22863,3.80975,0.06,0.22859,3.72301,0.06,0.22338,3.67882,0.06,0.22073,3.77778,0.06,0.22667
110,Wissa,BRE,FWD,6.3,2.59714,0.93796,2.43601,2.71196,0.93796,2.54371,3.14243,0.93796,2.94746,2.79472,0.93796,2.62133,2.72071,0.93796,2.55191,2.72833,0.93796,2.55906,2.92206,0.93796,2.74077,2.76064,0.93796,2.58936
111,Yarmoliuk,BRE,MID,4.4,1.71128,0.73743,1.26195,1.75107,0.73743,1.2913,1.93074,0.73743,1.42379,1.76515,0.73743,1.30168,1.75877,0.73743,1.29697,1.78476,0.73743,1.31614,1.82083,0.73743,1.34274,1.79633,0.73743,1.32467
112,Zanka,BRE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Adingra,BHA,MID,5.2,2.28209,0.57559,1.31355,2.03264,0.57559,1.16997,2.00778,0.57559,1.15567,2.10624,0.57559,1.21234,2.11542,0.57559,1.21762,2.27376,0.57559,1.30876,2.05236,0.57559,1.18132,2.11869,0.57559,1.21951
114,Baker-Boaitey,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Baleba,BHA,MID,5,2.10358,0.9059,1.90563,1.89717,0.9059,1.71865,1.97377,0.9059,1.78804,1.94509,0.9059,1.76206,1.98759,0.9059,1.80056,2.15035,0.9059,1.94801,1.94118,0.9059,1.75852,1.99735,0.9059,1.8094
116,Barco,BHA,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
